PoNumber,PostedDate,VendorID,VendorName,InvoiceNo,ProductName,ProductCode,ProductCategory,CategoryCode,UnitPrice,Quantity,OrderValue,DiscountValue,SalesValue,SalesReturn,DebitedAmount,Commission,Year,Month,Day,NetSales,DueAmount,PaymentMethods,BankName,PostedNo
PO-202412-0161,2024-12-29,VND004,Organic Solutions,INV-20241229-8966,Body Mist,PRD0035,Cosmetics,CAT002,4903.42,66,323625.72,65402.55,258223.17,2406.0,255817.17,906.34,2024,12,29,254910.83,27686.85,Bkash,,ENT-20241229-00161
PO-202412-1877,2024-12-29,VND007,Style Mart Brand,INV-20241229-9544,Personal Lubricant,PRD0070,Hygiene Products,CAT004,2875.07,99,284631.93,77693.51,206938.42,884.48,206053.94,21203.55,2024,12,29,184850.39,31731.31,Nagad,,ENT-20241229-01877
PO-202412-0448,2024-12-29,VND001,Creative Corporation,INV-20241229-3599,Face Serum,PRD0053,Cosmetics,CAT002,3455.83,51,176247.33,10128.91,166118.42,12770.28,153348.14,589.11,2024,12,29,152759.03,14311.69,Cheque,Rupali Bank,ENT-20241229-00448
PO-202412-1696,2024-12-29,VND004,Organic Solutions,INV-20241229-4360,Keychain,PRD0012,Accessories,CAT003,4680.72,61,285523.92,78449.01,207074.91,2373.55,204701.36,27051.42,2024,12,29,177649.94,62507.86,Nagad,,ENT-20241229-01696
PO-202412-1600,2024-12-28,VND001,Creative Corporation,INV-20241228-8332,Men Jeans,PRD0078,Fashion Apparel,CAT001,3996.55,75,299741.25,51454.08,248287.17,20534.88,227752.29,23848.75,2024,12,28,203903.54,5812.17,Nagad,,ENT-20241228-01600
PO-202412-0145,2024-12-28,VND001,Creative Corporation,INV-20241228-7355,Aftershave,PRD0057,Hygiene Products,CAT004,423.53,34,14400.02,86.08,14313.94,191.85,14122.09,1905.28,2024,12,28,12216.81,3689.76,Nagad,,ENT-20241228-00145
PO-202412-0613,2024-12-28,VND005,Yello Energy Co.,INV-20241228-1420,Personal Toys,PRD0040,Hygiene Products,CAT004,1507.24,49,73854.76,4953.36,68901.4,6857.57,62043.83,4241.5,2024,12,28,57802.33,29522.85,Bkash,,ENT-20241228-00613
PO-202412-0125,2024-12-27,VND003,Shanti Enterprises,INV-20241227-3252,Body Spray,PRD0001,Cosmetics,CAT002,3492.03,42,146665.26,18687.08,127978.18,10948.8,117029.38,11555.59,2024,12,27,105473.79,89175.43,Cheque,Rupali Bank,ENT-20241227-00125
PO-202412-1444,2024-12-27,VND007,Style Mart Brand,INV-20241227-9875,Hair Straightener,PRD0073,Hygiene Products,CAT004,4563.84,16,73021.44,17987.01,55034.43,3813.8,51220.63,2242.59,2024,12,27,48978.04,41704.42,Cheque,BRAC Bank,ENT-20241227-01444
PO-202412-1808,2024-12-27,VND002,Kazi Tea IND Ltd.,INV-20241227-2270,Disinfectant Spray,PRD0037,Cosmetics,CAT002,3897.96,97,378102.12,22907.05,355195.07,4107.87,351087.2,26388.31,2024,12,27,324698.89,137951.37,Bkash,,ENT-20241227-01808
PO-202412-0451,2024-12-26,VND004,Organic Solutions,INV-20241226-5840,Hair Accessories,PRD0029,Hygiene Products,CAT004,2284.74,29,66257.46,10524.78,55732.68,430.29,55302.39,6320.16,2024,12,26,48982.23,25927.72,Bkash,,ENT-20241226-00451
PO-202412-0113,2024-12-25,VND005,Yello Energy Co.,INV-20241225-7576,Face Wash,PRD0022,Hygiene Products,CAT004,475.45,74,35183.3,3924.29,31259.01,1191.21,30067.8,427.08,2024,12,25,29640.72,11553.9,Bank Transfer,Janata Bank,ENT-20241225-00113
PO-202412-1639,2024-12-25,VND003,Shanti Enterprises,INV-20241225-7056,Face Serum,PRD0053,Cosmetics,CAT002,842.59,61,51397.99,6154.63,45243.36,2829.6,42413.76,1456.95,2024,12,25,40956.81,26304.5,Bkash,,ENT-20241225-01639
PO-202412-0978,2024-12-25,VND002,Kazi Tea IND Ltd.,INV-20241225-4757,Men Polo Shirt,PRD0080,Fashion Apparel,CAT001,3753.05,73,273972.65,38033.42,235939.23,6128.26,229810.97,24965.36,2024,12,25,204845.61,52148.94,Cash,,ENT-20241225-00978
PO-202412-0835,2024-12-25,VND004,Organic Solutions,INV-20241225-9174,Jewelry Set,PRD0044,Accessories,CAT003,4571.28,15,68569.2,5304.63,63264.57,3414.32,59850.25,2137.99,2024,12,25,57712.26,49627.24,Cash,,ENT-20241225-00835
PO-202412-1701,2024-12-24,VND006,Sun Corporation Ltd.,INV-20241224-5569,Sunscreen,PRD0068,Hygiene Products,CAT004,885.93,29,25691.97,4127.14,21564.83,28.41,21536.42,1519.09,2024,12,24,20017.33,19385.1,Cheque,Janata Bank,ENT-20241224-01701
PO-202412-0093,2024-12-24,VND006,Sun Corporation Ltd.,INV-20241224-5572,Condom,PRD0009,Hygiene Products,CAT004,1767.02,3,5301.06,1196.47,4104.59,110.8,3993.79,550.75,2024,12,24,3443.04,1799.19,Bank Transfer,Bkash,ENT-20241224-00093
PO-202412-1359,2024-12-23,VND004,Organic Solutions,INV-20241223-2968,Hair Serum,PRD0011,Cosmetics,CAT002,3093.53,29,89712.37,23789.54,65922.83,1551.36,64371.47,9528.15,2024,12,23,54843.32,10901.12,Bank Transfer,Nagad,ENT-20241223-01359
PO-202412-1405,2024-12-23,VND005,Yello Energy Co.,INV-20241223-7901,Jewelry Set,PRD0044,Accessories,CAT003,2604.06,94,244781.64,27351.46,217430.18,9843.3,207586.88,8437.44,2024,12,23,199149.44,81907.72,Cash,,ENT-20241223-01405
PO-202412-0791,2024-12-23,VND001,Creative Corporation,INV-20241223-6814,Scarf,PRD0076,Accessories,CAT003,3428.49,74,253708.26,22812.24,230896.02,8074.77,222821.25,8303.03,2024,12,23,214518.22,173003.21,Nagad,,ENT-20241223-00791
PO-202412-1932,2024-12-23,VND007,Style Mart Brand,INV-20241223-7109,Keychain,PRD0012,Accessories,CAT003,4564.25,8,36514.0,8770.8,27743.2,85.64,27657.56,2699.51,2024,12,23,24958.05,24338.39,Cash,,ENT-20241223-01932
PO-202412-0225,2024-12-22,VND002,Kazi Tea IND Ltd.,INV-20241222-7775,Mouthwash,PRD0025,Hygiene Products,CAT004,4214.77,34,143302.18,15496.42,127805.76,1580.3,126225.46,598.79,2024,12,22,125626.67,106481.93,Cheque,Nagad,ENT-20241222-00225
PO-202412-0004,2024-12-21,VND003,Shanti Enterprises,INV-20241221-2488,Luggage,PRD0045,Hygiene Products,CAT004,1354.22,89,120525.58,18605.13,101920.45,1821.09,100099.36,928.38,2024,12,21,99170.98,8529.09,Cheque,Nagad,ENT-20241221-00004
PO-202412-0166,2024-12-21,VND007,Style Mart Brand,INV-20241221-9376,Sanitary Napkins,PRD0030,Hygiene Products,CAT004,3175.99,67,212791.33,59329.42,153461.91,4900.26,148561.65,18233.5,2024,12,21,130328.15,36719.72,Cash,,ENT-20241221-00166
PO-202412-0306,2024-12-21,VND007,Style Mart Brand,INV-20241221-5357,Women's Nightwear,PRD0003,Fashion Apparel,CAT001,1998.18,79,157856.22,18154.12,139702.1,10201.78,129500.32,8702.13,2024,12,21,120798.19,58484.21,Cash,,ENT-20241221-00306
PO-202412-1242,2024-12-20,VND006,Sun Corporation Ltd.,INV-20241220-9525,Jacket,PRD0008,Fashion Apparel,CAT001,1241.85,27,33529.95,613.15,32916.8,1674.39,31242.41,1707.42,2024,12,20,29534.99,12530.84,Bkash,,ENT-20241220-01242
